id,name,gpa,field_of_study,financial_aid,requirements
S97E19,Dr. Renee Burgess,2.37,Anthropology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S7CFE9,Sean Collins,3.84,Music,"['Presidential Scholarship', 'Liberal Arts Fellowship']","['GPA ≥ 3.8', 'Field of Study in Liberal Arts']"
SE0FC0,William Atkins,3.14,Biology,['STEM Excellence Award'],['Field of Study in STEM']
S44E47,Tara Mcbride,3.89,Philosophy,"['Presidential Scholarship', 'Liberal Arts Fellowship']","['GPA ≥ 3.8', 'Field of Study in Liberal Arts']"
S8107B,Kevin Munoz,3.66,Mathematics,"[""Dean's Merit Scholarship"", 'STEM Excellence Award', 'STEM Leadership Award']","['GPA ≥ 3.6', 'Field of Study in STEM', 'GPA ≥ 3.6 + STEM Field']"
S98EA8,Brandon Sanchez,3.51,Education,"['Academic Achievement Grant', 'Public Service Grant']","['GPA ≥ 3.2', 'Field of Study in Public Service']"
S936D6,Harold Monroe,2.41,Biology,['STEM Excellence Award'],['Field of Study in STEM']
S18C25,John Lewis,2.65,History,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S0D830,Leonard James,2.46,Anthropology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S2079F,Susan Woods,3.56,Anthropology,"['Academic Achievement Grant', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.2', 'Field of Study in Behavioral and Social Sciences']"
S97B46,Luis Leonard,2.07,Anthropology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
SF2CC2,William Lopez,2.98,Chemistry,['STEM Excellence Award'],['Field of Study in STEM']
S775F7,Heidi Lewis,2.66,Social Work,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
SEA44E,Mark Sullivan,3.64,Anthropology,"[""Dean's Merit Scholarship"", 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.6', 'Field of Study in Behavioral and Social Sciences']"
S25CA1,Karl Thomas,3.44,Engineering,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
SE1286,Nicole Choi,3.7,Computer Science,"[""Dean's Merit Scholarship"", 'STEM Excellence Award', 'STEM Leadership Award']","['GPA ≥ 3.6', 'Field of Study in STEM', 'GPA ≥ 3.6 + STEM Field']"
SE0CD1,Spencer Robertson,2.45,Psychology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S75FE5,Amy Martinez,2.77,History,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
SA8E43,Catherine Porter,2.82,Education,['Public Service Grant'],['Field of Study in Public Service']
S70A8B,Jennifer Brown,3.82,English,"['Presidential Scholarship', 'Liberal Arts Fellowship']","['GPA ≥ 3.8', 'Field of Study in Liberal Arts']"
S0AD18,William Wade,3.22,Mathematics,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S9C44E,William Russell DDS,3.08,Law,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
SEFA7D,Karen Patel,3.68,Mathematics,"[""Dean's Merit Scholarship"", 'STEM Excellence Award', 'STEM Leadership Award']","['GPA ≥ 3.6', 'Field of Study in STEM', 'GPA ≥ 3.6 + STEM Field']"
SD6B67,Debra Hicks,3.56,Nursing,"['Academic Achievement Grant', 'Public Service Grant']","['GPA ≥ 3.2', 'Field of Study in Public Service']"
SE1F5A,Anne Patterson,2.82,Computer Science,['STEM Excellence Award'],['Field of Study in STEM']
SDB452,David Smith,3.62,Business,"[""Dean's Merit Scholarship"", 'Business Leadership Scholarship']","['GPA ≥ 3.6', 'Field of Study in Business/Economics']"
S5A60D,Jonathan Thomas,2.44,Education,['Public Service Grant'],['Field of Study in Public Service']
SE0C9B,Renee Morgan,3.66,Economics,"[""Dean's Merit Scholarship"", 'Business Leadership Scholarship']","['GPA ≥ 3.6', 'Field of Study in Business/Economics']"
S9F1A6,Garrett Ibarra,2.92,Biology,['STEM Excellence Award'],['Field of Study in STEM']
SD5CE5,Amy Bowman,3.1,Education,['Public Service Grant'],['Field of Study in Public Service']
SC21E5,Terri Holder,3.39,Engineering,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S58860,Marc Woods,3.28,Biology,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S8E8B7,Tiffany Thomas,2.3,Paralegal,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
S51AD0,Christopher Fleming,2.51,Philosophy,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S82E96,Brendan Sellers,2.59,IT,['STEM Excellence Award'],['Field of Study in STEM']
S4ACAD,Peggy Powell,2.42,Nursing,['Public Service Grant'],['Field of Study in Public Service']
S07F98,Brandon Griffin,2.64,Physics,['STEM Excellence Award'],['Field of Study in STEM']
S16822,David Gallegos,3.11,Chemistry,['STEM Excellence Award'],['Field of Study in STEM']
SEDF9B,Kathleen Anderson,3.36,Statistics,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S53F22,Colleen Cannon,2.91,IT,['STEM Excellence Award'],['Field of Study in STEM']
S81C8D,Kyle Sanchez,2.96,Paralegal,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
S432F0,Wayne Mann,3.73,History,"[""Dean's Merit Scholarship"", 'Liberal Arts Fellowship']","['GPA ≥ 3.6', 'Field of Study in Liberal Arts']"
SC1671,Jordan Simmons,3.8,Chemistry,"['Presidential Scholarship', 'STEM Excellence Award']","['GPA ≥ 3.8', 'Field of Study in STEM']"
S1617C,Kevin Parsons,3.03,Physics,['STEM Excellence Award'],['Field of Study in STEM']
S204B4,Courtney Long,2.67,Anthropology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S1CAC9,Wesley Deleon,2.68,Physics,['STEM Excellence Award'],['Field of Study in STEM']
